Shift (m), Intensity (a.u.)
-1.359562550013336922e-06,1.877784259838098974e-08
-1.359162443318218284e-06,1.877385081368659525e-08
-1.358762336623099435e-06,1.877019018614637884e-08
-1.358362229927980797e-06,1.876653273962029383e-08
-1.357962123232862159e-06,1.876279203685448347e-08
-1.357562016537743521e-06,1.875902634103902046e-08
-1.357161909842624671e-06,1.875535170134771492e-08
-1.356761803147506033e-06,1.875146396198472719e-08
-1.356361696452387395e-06,1.874787008835536838e-08
-1.355961589757268545e-06,1.874435849955138265e-08
-1.355561483062149907e-06,1.874083210609773388e-08
-1.355161376367031269e-06,1.873740841202256276e-08
-1.354761269671912631e-06,1.873411653097845321e-08
-1.354361162976793781e-06,1.873076012014122793e-08
-1.353961056281675143e-06,1.872744646300236643e-08
-1.353560949586556505e-06,1.872404980277860764e-08
-1.353160842891437656e-06,1.872089728441087282e-08
-1.352760736196319018e-06,1.871766192664580927e-08
-1.352360629501200380e-06,1.871442943459991542e-08
-1.351960522806081742e-06,1.871138631287364380e-08
-1.351560416110962892e-06,1.870853254571401133e-08
-1.351160309415844254e-06,1.870576428168709956e-08
-1.350760202720725616e-06,1.870312533146279136e-08
-1.350360096025606978e-06,1.870082192468042016e-08
-1.349959989330488128e-06,1.869868749268559806e-08
-1.349559882635369490e-06,1.869682865414220063e-08
-1.349159775940250852e-06,1.869489631766363268e-08
-1.348759669245132002e-06,1.869318648499075047e-08
-1.348359562550013364e-06,1.869155655988626381e-08
-1.347959455854894726e-06,1.868997231957009410e-08
-1.347559349159776088e-06,1.868876392994916791e-08
-1.347159242464657238e-06,1.868780602300214519e-08
-1.346759135769538600e-06,1.868683122311144250e-08
-1.346359029074419962e-06,1.868578137839413422e-08
-1.345958922379301113e-06,1.868477740717729074e-08
-1.345558815684182475e-06,1.868387002999391510e-08
-1.345158708989063837e-06,1.868307001438376931e-08
-1.344758602293945199e-06,1.868227329185645739e-08
-1.344358495598826349e-06,1.868154844979686822e-08
-1.343958388903707711e-06,1.868087067334448573e-08
-1.343558282208589073e-06,1.868031097276881625e-08
-1.343158175513470223e-06,1.867964362264064281e-08
-1.342758068818351585e-06,1.867906510179726225e-08
-1.342357962123232947e-06,1.867849134271861414e-08
-1.341957855428114309e-06,1.867782926148177601e-08
-1.341557748732995459e-06,1.867728901694608382e-08
-1.341157642037876821e-06,1.867680188234931615e-08
-1.340757535342758183e-06,1.867648102637683668e-08
-1.340357428647639334e-06,1.867600388925057373e-08
-1.339957321952520696e-06,1.867528408650366128e-08
-1.339557215257402058e-06,1.867463279226080443e-08
-1.339157108562283420e-06,1.867398532349224300e-08
-1.338757001867164570e-06,1.867315434174244777e-08
-1.338356895172045932e-06,1.867210748888474023e-08
-1.337956788476927294e-06,1.867113449563772450e-08
-1.337556681781808444e-06,1.867024437935597362e-08
-1.337156575086689806e-06,1.866935738597135568e-08
-1.336756468391571168e-06,1.866843140286164524e-08
-1.336356361696452530e-06,1.866764776339071228e-08
-1.335956255001333680e-06,1.866674616787828998e-08
-1.335556148306215042e-06,1.866566192273876121e-08
-1.335156041611096404e-06,1.866452774392635642e-08
-1.334755934915977555e-06,1.866335450878143733e-08
-1.334355828220858917e-06,1.866240197766088680e-08
-1.333955721525740279e-06,1.866157659183480685e-08
-1.333555614830621641e-06,1.866085784158878680e-08
-1.333155508135502791e-06,1.866014681094040673e-08
-1.332755401440384153e-06,1.865967042647920663e-08
-1.332355294745265515e-06,1.865923983033751289e-08
-1.331955188050146665e-06,1.865882767175328245e-08
-1.331555081355028027e-06,1.865822987026572850e-08
-1.331154974659909389e-06,1.865769873766745156e-08
-1.330754867964790751e-06,1.865704664970489377e-08
-1.330354761269671901e-06,1.865661014189558235e-08
-1.329954654574553263e-06,1.865624534714858573e-08
-1.329554547879434625e-06,1.865589580591566980e-08
-1.329154441184315775e-06,1.865538022211100369e-08
-1.328754334489197137e-06,1.865508236335677278e-08
-1.328354227794078499e-06,1.865486330998602054e-08
-1.327954121098959861e-06,1.865466763412334155e-08
-1.327554014403841012e-06,1.865419261013743722e-08
-1.327153907708722374e-06,1.865383854121906103e-08
-1.326753801013603736e-06,1.865330573020414422e-08
-1.326353694318484886e-06,1.865301954371858940e-08
-1.325953587623366248e-06,1.865270452673108772e-08
-1.325553480928247610e-06,1.865237021650231220e-08
-1.325153374233128972e-06,1.865204485555306108e-08
-1.324753267538010122e-06,1.865175345117772207e-08
-1.324353160842891484e-06,1.865122926512277123e-08
-1.323953054147772846e-06,1.865067283677737083e-08
-1.323552947452653996e-06,1.865016481666232045e-08
-1.323152840757535358e-06,1.864980254369427381e-08
-1.322752734062416720e-06,1.864966900881067321e-08
-1.322352627367298082e-06,1.864959836956233685e-08
-1.321952520672179233e-06,1.864966832018674402e-08
-1.321552413977060595e-06,1.864983040713885699e-08
-1.321152307281941957e-06,1.865005672346223836e-08
-1.320752200586823107e-06,1.865039175981885875e-08
-1.320352093891704469e-06,1.865056507167617253e-08
-1.319951987196585831e-06,1.865067468576287162e-08
-1.319551880501467193e-06,1.865091345606539689e-08
-1.319151773806348343e-06,1.865095587753847979e-08
-1.318751667111229705e-06,1.865105363798366713e-08
-1.318351560416111067e-06,1.865104527494966789e-08
-1.317951453720992217e-06,1.865101351160486296e-08
-1.317551347025873579e-06,1.865074653362746573e-08
-1.317151240330754941e-06,1.865026660745478050e-08
-1.316751133635636303e-06,1.864979545947976781e-08
-1.316351026940517453e-06,1.864943290019774029e-08
-1.315950920245398815e-06,1.864925388004827820e-08
-1.315550813550280177e-06,1.864892782326086534e-08
-1.315150706855161328e-06,1.864852733578403873e-08
-1.314750600160042690e-06,1.864793405690571630e-08
-1.314350493464924052e-06,1.864730562823654768e-08
-1.313950386769805414e-06,1.864656577585495067e-08
-1.313550280074686564e-06,1.864603658731556458e-08
-1.313150173379567926e-06,1.864525350502231868e-08
-1.312750066684449288e-06,1.864429367571525509e-08
-1.312349959989330438e-06,1.864323816652179708e-08
-1.311949853294211800e-06,1.864228269165583035e-08
